"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
"1","WALT HARRIS","31","0","0","0","Heavyweight","KO/TKO","1","4:18","115.5"
"0","CODY EAST","26","0","0","0","Heavyweight","KO/TKO","1","4:18","13"
"0","WALT HARRIS","22","0","0","0","Heavyweight","KO/TKO","2","4:49","11"
"1","SOA PALELEI","24","1","0","2","Heavyweight","KO/TKO","2","4:49","84"
"0","WALT HARRIS","18","0","0","0","Heavyweight","U-DEC","3","5:00","9"
"1","JARED ROSHOLT","33","1","0","0","Heavyweight","U-DEC","3","5:00","43.5"
