"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
"1","KEITA NAKAMURA","41","0","1","3","Welterweight","SUB","2","4:59","90.5"
"0","KYLE NOKE","44","2","0","0","Welterweight","SUB","2","4:59","26"
"0","KEITA NAKAMURA","6","3","1","4","Welterweight","U-DEC","3","5:00","9"
"1","TOM BREESE","32","0","1","2","Welterweight","U-DEC","3","5:00","41"
