"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
0,"ION CUTELABA",24,0,0,1,"Light Heavyweight","SUB",3,"1:22",12
1,"MISHA CIRKUNOV",44,1,1,1,"Light Heavyweight","SUB",3,"1:22",74
