"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
"0","JOSHUA BURKMAN","40","3","0","2","Lightweight","U-DEC","3","5:00","26"
"1","PAUL FELDER","41","0","0","0","Lightweight","U-DEC","3","5:00","45.5"
"1","JOSHUA BURKMAN","57","3","0","1","Lightweight","U-DEC","3","5:00","59.5"
"0","KJ NOONS","33","0","0","0","Lightweight","U-DEC","3","5:00","16.5"
"0","JOSHUA BURKMAN","45","1","0","1","Welterweight","KO/TKO","3","1:26","24.5"
"1","PATRICK COTE","60","0","0","1","Welterweight","KO/TKO","3","1:26","80"
"0","JOSHUA BURKMAN","20","0","0","0","Welterweight","SUB","3","2:13","10"
"1","DONG HYUN KIM","30","1","1","2","Welterweight","SUB","3","2:13","67"
