"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
0,"CODY EAST",26,0,0,0,"Heavyweight","KO/TKO",1,"4:18",13
1,"WALT HARRIS",31,0,0,0,"Heavyweight","KO/TKO",1,"4:18",115.5
