"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time"
"1","MAXIMO BLANCO","60","1","0","1","Featherweight","U-DEC","3","5:00"
"0","ANDY OGLE","44","1","0","2","Featherweight","U-DEC","3","5:00"
"1","RUSLAN MAGOMEDOV","47","0","0","0","Heavyweight","U-DEC","3","5:00"
"0","VIKTOR PESTA","26","1","0","1","Heavyweight","U-DEC","3","5:00"
"1","TJ DILLASHAW","140","0","2","2","Bantamweight","KO/TKO","5","2:26"
"0","RENAN BARAO","64","0","0","0","Bantamweight","KO/TKO","5","2:26"
"1","DANIEL CORMIER","50","3","2","11","Light Heavyweight","SUB","3","3:53"
"0","DAN HENDERSON","6","0","0","0","Light Heavyweight","SUB","3","3:53"
"1","ROBBIE LAWLER","68","0","0","0","Welterweight","KO/TKO","3","3:06"
"0","JAKE ELLENBERGER","29","2","0","0","Welterweight","KO/TKO","3","3:06"
"1","TAKEYA MIZUGAKI","35","0","0","3","Bantamweight","U-DEC","3","5:00"
"0","FRANCISCO RIVERA","41","3","1","0","Bantamweight","U-DEC","3","5:00"
"1","JAMES KRAUSE","22","0","0","1","Lightweight","KO/TKO","1","5:00"
"0","JAMIE VARNER","7","1","0","1","Lightweight","KO/TKO","1","5:00"
"1","MICHAEL CHIESA","19","2","0","3","Lightweight","U-DEC","3","5:00"
"0","FRANCISCO TRINALDO","13","0","1","0","Lightweight","U-DEC","3","5:00"
"1","TONY FERGUSON","38","1","1","1","Lightweight","KO/TKO","1","4:06"
"0","KATSUNORI KIKUNO","22","0","0","0","Lightweight","KO/TKO","1","4:06"
"1","CHRIS HOLDSWORTH","26","4","2","13","Bantamweight","U-DEC","3","5:00"
"0","CHICO CAMUS","25","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","MITCH CLARKE","8","0","1","0","Lightweight","SUB","2","0:57"
"0","AL IAQUINTA","13","1","2","6","Lightweight","SUB","2","0:57"
"1","VINC PICHEL","57","8","0","8","Lightweight","U-DEC","3","5:00"
"0","ANTHONY NJOKUANI","24","0","0","0","Lightweight","U-DEC","3","5:00"
"1","SAM SICILIA","37","5","1","7","Featherweight","U-DEC","3","5:00"
"0","AARON PHILLIPS","18","0","1","1","Featherweight","U-DEC","3","5:00"
"1","LI JINGLIANG","61","2","0","3","Welterweight","S-DEC","3","5:00"
