"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time"
"1","CRIS CYBORG","84","2","0","4","Catch Weight","KO/TKO","2","2:29"
"0","LINA LANSBERG","14","0","0","0","Catch Weight","KO/TKO","2","2:29"
"1","RENAN BARAO","64","3","0","0","Featherweight","U-DEC","3","5:00"
"0","PHILLIPE NOVER","39","0","0","0","Featherweight","U-DEC","3","5:00"
"1","ROY NELSON","36","0","0","0","Heavyweight","KO/TKO","2","4:10"
"0","ANTONIO SILVA","27","0","0","0","Heavyweight","KO/TKO","2","4:10"
"1","FRANCISCO TRINALDO","32","1","0","1","Lightweight","KO/TKO","3","2:25"
"0","PAUL FELDER","33","0","0","0","Lightweight","KO/TKO","3","2:25"
"1","ERIC SPICELY","5","1","1","2","Middleweight","SUB","1","2:58"
"0","THIAGO SANTOS","2","0","0","1","Middleweight","SUB","1","2:58"
"1","GODOFREDO PEPEY","24","1","2","1","Featherweight","SUB","1","3:03"
"0","MIKE DE LA TORRE","6","0","0","0","Featherweight","SUB","1","3:03"
"1","MICHEL PRAZERES","67","5","0","0","Lightweight","U-DEC","3","5:00"
"0","GILBERT BURNS","46","1","0","1","Lightweight","U-DEC","3","5:00"
"1","RANI YAHYA","10","7","1","6","Bantamweight","U-DEC","3","5:00"
"0","MICHINORI TANAKA","20","1","0","0","Bantamweight","U-DEC","3","5:00"
"1","JUSSIER FORMIGA","8","1","2","8","Flyweight","U-DEC","3","5:00"
"0","DUSTIN ORTIZ","13","0","0","0","Flyweight","U-DEC","3","5:00"
"1","ERICK SILVA","55","0","2","4","Welterweight","SUB","3","3:57"
"0","LUAN CHAGAS","41","1","0","2","Welterweight","SUB","3","3:57"
"1","ALAN PATRICK","7","5","1","6","Lightweight","U-DEC","3","5:00"
"0","STEVIE RAY","2","0","1","2","Lightweight","U-DEC","3","5:00"
"1","VICENTE LUQUE","11","0","0","0","Welterweight","KO/TKO","1","1:00"
"0","HECTOR URBINA","5","0","0","0","Welterweight","KO/TKO","1","1:00"
"1","GREGOR GILLESPIE","41","5","0","8","Lightweight","U-DEC","3","5:00"
"0","GLAICO FRANCA","43","0","0","0","Lightweight","U-DEC","3","5:00"
"1","MICHAEL JOHNSON","14","0","0","0","Lightweight","KO/TKO","1","1:35"
"0","DUSTIN POIRIER","6","0","0","0","Lightweight","KO/TKO","1","1:35"
"1","DEREK BRUNSON","4","0","0","0","Middleweight","KO/TKO","1","1:41"
"0","URIAH HALL","1","0","0","0","Middleweight","KO/TKO","1","1:41"
"1","EVAN DUNHAM","144","3","2","4","Lightweight","U-DEC","3","5:00"
"0","RICK GLENN","58","0","0","0","Lightweight","U-DEC","3","5:00"
"1","ROAN CARNEIRO","33","2","0","2","Welterweight","S-DEC","3","5:00"
"0","KENNY ROBERTSON","28","0","0","2","Welterweight","S-DEC","3","5:00"
"1","ISLAM MAKHACHEV","12","4","2","7","Lightweight","U-DEC","3","5:00"
"0","CHRIS WADE","5","0","2","4","Lightweight","U-DEC","3","5:00"
"1","CHAS SKELLY","1","0","1","0","Featherweight","SUB","1","0:19"
"0","MAXIMO BLANCO","0","0","0","0","Featherweight","SUB","1","0:19"
"1","GABRIEL BENITEZ","39","0","1","0","Featherweight","SUB","2","1:20"
"0","SAM SICILIA","19","0","0","0","Featherweight","SUB","2","1:20"
"1","BELAL MUHAMMAD","66","3","0","5","Welterweight","KO/TKO","3","4:19"
"0","AUGUSTO MONTANO","67","0","0","0","Welterweight","KO/TKO","3","4:19"
"1","ANTONIO CARLOS JUNIOR","32","7","1","5","Middleweight","SUB","3","4:46"
"0","LEONARDO AUGUSTO LELECO","6","0","2","0","Middleweight","SUB","3","4:46"
"1","JOSE QUINONEZ","56","5","0","5","Bantamweight","U-DEC","3","5:00"
"0","JOEY GOMEZ","44","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","RANDY BROWN","12","1","1","0","Welterweight","SUB","3","0:18"
"0","ERICK MONTANO","21","2","0","1","Welterweight","SUB","3","0:18"
"","ALEJANDRO PEREZ","61","1","0","0","Bantamweight","M-DEC","","3"
"","ALBERT MORALES","79","0","0","0","Bantamweight","M-DEC","","3"
"1","STIPE MIOCIC","34","1","0","0","Heavyweight","KO/TKO","1","4:27"
"0","ALISTAIR OVEREEM","9","0","1","0","Heavyweight","KO/TKO","1","4:27"
"1","FABRICIO WERDUM","84","0","1","1","Heavyweight","U-DEC","3","5:00"
"0","TRAVIS BROWNE","37","0","0","0","Heavyweight","U-DEC","3","5:00"
"1","MICKEY GALL","20","1","2","3","Welterweight","SUB","1","2:14"
"0","CM PUNK","0","0","0","0","Welterweight","SUB","1","2:14"
"1","JIMMIE RIVERA","54","0","0","0","Bantamweight","U-DEC","3","5:00"
"0","URIJAH FABER","22","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","JESSICA ANDRADE","20","2","1","3","Women's Strawweight","SUB","1","4:38"
"0","JOANNE CALDERWOOD","13","0","0","0","Women's Strawweight","SUB","1","4:38"
"1","BETHE CORREIA","49","0","0","0","Women's Bantamweight","S-DEC","3","5:00"
"0","JESSICA EYE","52","0","0","0","Women's Bantamweight","S-DEC","3","5:00"
"1","BRAD TAVARES","46","0","0","0","Middleweight","S-DEC","3","5:00"
"0","CAIO MAGALHAES","26","1","1","0","Middleweight","S-DEC","3","5:00"
"1","NIK LENTZ","38","5","1","8","Lightweight","KO/TKO","2","4:17"
"0","MICHAEL MCBRIDE","16","0","0","1","Lightweight","KO/TKO","2","4:17"
"1","DREW DOBER","20","0","0","0","Lightweight","KO/TKO","1","1:45"
"0","JASON GONZALEZ","10","0","0","0","Lightweight","KO/TKO","1","1:45"
"1","YANCY MEDEIROS","17","0","1","2","Welterweight","SUB","2","0:49"
"0","SEAN SPENCER","17","0","0","0","Welterweight","SUB","2","0:49"
"1","JOSH BARNETT","53","1","1","6","Heavyweight","SUB","3","2:53"
"0","ANDREI ARLOVSKI","38","1","0","1","Heavyweight","SUB","3","2:53"
"1","ALEXANDER GUSTAFSSON","50","4","0","2","Light Heavyweight","U-DEC","3","5:00"
"0","JAN BLACHOWICZ","28","0","0","0","Light Heavyweight","U-DEC","3","5:00"
"1","RYAN BADER","13","0","0","0","Light Heavyweight","KO/TKO","2","2:06"
"0","ILIR LATIFI","9","0","0","0","Light Heavyweight","KO/TKO","2","2:06"
"1","NICK HEIN","20","2","0","1","Lightweight","U-DEC","3","5:00"
"0","TAE HYUN BANG","40","0","0","0","Lightweight","U-DEC","3","5:00"
"1","JESSIN AYARI","70","0","0","0","Welterweight","S-DEC","3","5:00"
"0","JIMMY WALLHEAD","47","0","0","0","Welterweight","S-DEC","3","5:00"
"1","PETER SOBOTTA","38","3","1","7","Welterweight","U-DEC","3","5:00"
"0","NICOLAS DALBY","14","0","0","0","Welterweight","U-DEC","3","5:00"
"1","ASHLEE EVANS-SMITH","73","2","0","3","Women's Bantamweight","KO/TKO","3","2:46"
"0","VERONICA MACEDO","23","0","0","0","Women's Bantamweight","KO/TKO","3","2:46"
"1","TAYLOR LAPILUS","63","0","0","0","Bantamweight","U-DEC","3","5:00"
"0","LEANDRO ISSA","19","3","0","0","Bantamweight","U-DEC","3","5:00"
"","JARJIS DANHO","52","1","0","1","Heavyweight","M-DEC","","3"
"","CHRISTIAN COLOMBO","76","0","0","0","Heavyweight","M-DEC","","3"
"1","DEMIAN MAIA","1","1","1","2","Welterweight","SUB","1","1:52"
"0","CARLOS CONDIT","1","0","0","0","Welterweight","SUB","1","1:52"
"1","ANTHONY PETTIS","53","0","1","2","Featherweight","SUB","3","1:49"
"0","CHARLES OLIVEIRA","41","4","0","6","Featherweight","SUB","3","1:49"
"1","PAIGE VANZANT","25","0","0","0","Women's Strawweight","KO/TKO","2","0:17"
"0","BEC RAWLINGS","21","0","0","0","Women's Strawweight","KO/TKO","2","0:17"
"1","JIM MILLER","80","0","0","0","Lightweight","S-DEC","3","5:00"
"0","JOE LAUZON","54","3","1","10","Lightweight","S-DEC","3","5:00"
"1","SAM ALVEY","59","0","0","1","Middleweight","KO/TKO","2","4:56"
"0","KEVIN CASEY","25","0","0","0","Middleweight","KO/TKO","2","4:56"
"1","KYLE BOCHNIAK","41","1","0","1","Featherweight","S-DEC","3","5:00"
"0","ENRIQUE BARZOLA","55","1","0","0","Featherweight","S-DEC","3","5:00"
"1","ALESSIO DI CHIRICO","61","2","0","4","Middleweight","S-DEC","3","5:00"
"0","GARRETH MCLELLAN","57","2","0","2","Middleweight","S-DEC","3","5:00"
"1","FELIPE SILVA","11","0","0","0","Lightweight","KO/TKO","1","1:13"
"0","SHANE CAMPBELL","9","0","0","0","Lightweight","KO/TKO","1","1:13"
"1","CHAD LAPRISE","17","0","0","0","Lightweight","KO/TKO","1","1:36"
"0","THIBAULT GOUTI","4","0","0","0","Lightweight","KO/TKO","1","1:36"
"1","JEREMY KENNEDY","27","5","0","0","Lightweight","U-DEC","3","5:00"
"0","ALESSANDRO RICCI","28","0","0","0","Lightweight","U-DEC","3","5:00"
"1","CONOR MCGREGOR","164","0","0","0","Welterweight","M-DEC","5","5:00"
"0","NATE DIAZ","166","1","0","0","Welterweight","M-DEC","5","5:00"
"1","ANTHONY JOHNSON","4","0","0","0","Light Heavyweight","KO/TKO","1","0:13"
"0","GLOVER TEIXEIRA","1","0","0","0","Light Heavyweight","KO/TKO","1","0:13"
"1","DONALD CERRONE","45","1","1","0","Welterweight","KO/TKO","2","2:02"
"0","RICK STORY","17","1","0","0","Welterweight","KO/TKO","2","2:02"
"1","MIKE PERRY","31","0","0","3","Welterweight","KO/TKO","1","3:38"
"0","HYUN GYU LIM","8","0","0","0","Welterweight","KO/TKO","1","3:38"
"1","TIM MEANS","71","0","0","0","Welterweight","KO/TKO","2","2:56"
"0","SABAH HOMASI","33","2","0","0","Welterweight","KO/TKO","2","2:56"
"1","CODY GARBRANDT","12","0","0","0","Bantamweight","KO/TKO","1","0:48"
"0","TAKEYA MIZUGAKI","4","0","0","0","Bantamweight","KO/TKO","1","0:48"
"1","RAQUEL PENNINGTON","33","3","1","2","Women's Bantamweight","U-DEC","3","5:00"
"0","ELIZABETH PHILLIPS","15","1","0","2","Women's Bantamweight","U-DEC","3","5:00"
"1","ARTEM LOBOV","53","0","0","0","Featherweight","U-DEC","3","5:00"
"0","CHRIS AVILA","42","0","0","0","Featherweight","U-DEC","3","5:00"
"1","CORTNEY CASEY","21","0","1","1","Women's Strawweight","SUB","1","4:34"
"0","RANDA MARKOS","4","1","0","1","Women's Strawweight","SUB","1","4:34"
"1","LORENZ LARKIN","32","0","0","0","Welterweight","KO/TKO","1","4:08"
"0","NEIL MAGNY","8","0","0","0","Welterweight","KO/TKO","1","4:08"
"1","COLBY COVINGTON","26","6","0","12","Welterweight","KO/TKO","3","2:18"
"0","MAX GRIFFIN","13","0","1","0","Welterweight","KO/TKO","3","2:18"
"1","MARVIN VETTORI","10","1","1","0","Middleweight","SUB","1","4:30"
"0","ALBERTO UDA","4","1","0","0","Middleweight","SUB","1","4:30"
"1","YAIR RODRIGUEZ","120","1","0","0","Featherweight","S-DEC","5","5:00"
"0","ALEX CACERES","62","1","0","1","Featherweight","S-DEC","5","5:00"
"1","DENNIS BERMUDEZ","48","5","0","1","Featherweight","U-DEC","3","5:00"
"0","RONY JASON","9","0","0","1","Featherweight","U-DEC","3","5:00"
"1","THALES LEITES","36","5","1","7","Middleweight","SUB","3","2:58"
"0","CHRIS CAMOZZI","8","0","0","0","Middleweight","SUB","3","2:58"
"1","SANTIAGO PONZINIBBIO","58","0","0","0","Welterweight","U-DEC","3","5:00"
"0","ZAK CUMMINGS","35","1","0","0","Welterweight","U-DEC","3","5:00"
"1","TREVOR SMITH","42","4","2","10","Middleweight","U-DEC","3","5:00"
"0","JOE GIGLIOTTI","15","1","1","0","Middleweight","U-DEC","3","5:00"
"1","MARYNA MOROZ","17","0","0","0","Women's Strawweight","S-DEC","3","5:00"
"0","DANIELLE TAYLOR","17","1","0","0","Women's Strawweight","S-DEC","3","5:00"
"1","COURT MCGEE","15","4","1","2","Welterweight","U-DEC","3","5:00"
"0","DOMINIQUE STEELE","23","0","0","0","Welterweight","U-DEC","3","5:00"
"1","MARCIN TYBURA","15","0","0","0","Heavyweight","KO/TKO","2","0:53"
"0","VIKTOR PESTA","3","0","0","0","Heavyweight","KO/TKO","2","0:53"
"1","DAVID TEYMUR","26","0","0","0","Lightweight","KO/TKO","2","1:25"
"0","JASON NOVELLI","8","0","0","0","Lightweight","KO/TKO","2","1:25"
"1","TERUTO ISHIHARA","13","0","0","0","Featherweight","KO/TKO","1","2:32"
"0","HORACIO GUTIERREZ","5","0","0","0","Featherweight","KO/TKO","1","2:32"
"1","CUB SWANSON","67","1","1","3","Featherweight","U-DEC","3","5:00"
"0","TATSUYA KAWAJIRI","23","3","0","3","Featherweight","U-DEC","3","5:00"
"1","JUSTIN LEDET","113","0","0","0","Heavyweight","U-DEC","3","5:00"
"0","CHASE SHERMAN","59","0","0","0","Heavyweight","U-DEC","3","5:00"
"1","TYRON WOODLEY","8","0","0","0","Welterweight","KO/TKO","1","2:12"
"0","ROBBIE LAWLER","3","0","0","0","Welterweight","KO/TKO","1","2:12"
"1","KAROLINA KOWALKIEWICZ","84","0","0","2","Women's Strawweight","S-DEC","3","5:00"
"0","ROSE NAMAJUNAS","70","2","0","1","Women's Strawweight","S-DEC","3","5:00"
"1","JAKE ELLENBERGER","21","0","0","0","Welterweight","KO/TKO","1","1:46"
"0","MATT BROWN","7","0","0","0","Welterweight","KO/TKO","1","1:46"
"1","ERIK PEREZ","54","2","0","1","Bantamweight","U-DEC","3","5:00"
"0","FRANCISCO RIVERA","55","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","RYAN BENOIT","31","0","0","1","Flyweight","S-DEC","3","5:00"
"0","FREDY SERRANO","22","5","0","4","Flyweight","S-DEC","3","5:00"
"1","NIKITA KRYLOV","60","0","0","0","Light Heavyweight","KO/TKO","2","0:40"
"0","ED HERMAN","26","1","0","1","Light Heavyweight","KO/TKO","2","0:40"
"1","JORGE MASVIDAL","113","1","0","0","Welterweight","U-DEC","3","5:00"
"0","ROSS PEARSON","52","2","0","0","Welterweight","U-DEC","3","5:00"
"1","ANTHONY HAMILTON","9","0","0","0","Heavyweight","KO/TKO","1","0:14"
"0","DAMIAN GRABOWSKI","1","0","0","0","Heavyweight","KO/TKO","1","0:14"
"1","WILSON REIS","4","3","1","3","Flyweight","SUB","1","1:49"
"0","HECTOR SANDOVAL","5","0","0","1","Flyweight","SUB","1","1:49"
"","MICHAEL GRAVES","9","3","0","5","Welterweight","M-DEC","","3"
"","BOJAN VELICKOVIC","17","1","0","1","Welterweight","M-DEC","","3"
"1","VALENTINA SHEVCHENKO","87","3","0","1","Women's Bantamweight","U-DEC","5","5:00"
"0","HOLLY HOLM","54","0","0","0","Women's Bantamweight","U-DEC","5","5:00"
"1","EDSON BARBOZA","56","1","0","0","Lightweight","U-DEC","3","5:00"
"0","GILBERT MELENDEZ","39","0","0","0","Lightweight","U-DEC","3","5:00"
"1","FRANCIS NGANNOU","8","0","0","0","Heavyweight","KO/TKO","1","1:34"
"0","BOJAN MIHAJLOVIC","3","0","0","0","Heavyweight","KO/TKO","1","1:34"
"1","FELICE HERRIG","13","1","1","2","Women's Strawweight","SUB","1","1:59"
"0","KAILIN CURRAN","5","0","0","0","Women's Strawweight","SUB","1","1:59"
"1","EDDIE WINELAND","42","0","0","0","Bantamweight","KO/TKO","3","1:54"
"0","FRANKIE SAENZ","45","1","0","1","Bantamweight","KO/TKO","3","1:54"
"1","DARREN ELKINS","33","5","0","0","Featherweight","U-DEC","3","5:00"
"0","GODOFREDO PEPEY","20","0","2","1","Featherweight","U-DEC","3","5:00"
"1","KAMARU USMAN","41","5","0","8","Welterweight","U-DEC","3","5:00"
"0","ALEXANDER YAKOVLEV","8","0","0","0","Welterweight","U-DEC","3","5:00"
"1","MICHEL PRAZERES","48","7","1","4","Lightweight","U-DEC","3","5:00"
"0","JC COTTRELL","14","0","0","0","Lightweight","U-DEC","3","5:00"
"1","ALEX OLIVEIRA","58","2","0","1","Welterweight","U-DEC","3","5:00"
"0","JAMES MOONTASRI","12","0","0","0","Welterweight","U-DEC","3","5:00"
"1","JASON KNIGHT","76","1","0","0","Featherweight","S-DEC","3","5:00"
"0","JIM ALERS","41","4","0","1","Featherweight","S-DEC","3","5:00"
"1","LUIS HENRIQUE","20","1","1","2","Heavyweight","SUB","2","3:58"
"0","DMITRII SMOLIAKOV","14","0","0","0","Heavyweight","SUB","2","3:58"
"1","JOHN LINEKER","26","0","0","0","Bantamweight","KO/TKO","1","2:43"
"0","MICHAEL MCDONALD","14","0","0","0","Bantamweight","KO/TKO","1","2:43"
"1","TONY FERGUSON","66","0","3","0","Lightweight","SUB","2","2:22"
"0","LANDO VANNATA","40","0","0","0","Lightweight","SUB","2","2:22"
"1","TIM BOETSCH","38","2","0","3","Middleweight","KO/TKO","2","3:49"
"0","JOSH SAMMAN","17","0","0","0","Middleweight","KO/TKO","2","3:49"
"1","DANIEL OMIELANCZUK","26","1","0","1","Heavyweight","M-DEC","3","5:00"
"0","ALEKSEI OLEINIK","8","4","2","5","Heavyweight","M-DEC","3","5:00"
"1","KEITA NAKAMURA","41","0","1","3","Welterweight","SUB","2","4:59"
"0","KYLE NOKE","44","2","0","0","Welterweight","SUB","2","4:59"
"1","LOUIS SMOLKA","82","3","7","7","Flyweight","KO/TKO","2","4:41"
"0","BEN NGUYEN","4","0","1","1","Flyweight","KO/TKO","2","4:41"
"1","KATLYN CHOOKAGIAN","45","0","0","0","Women's Bantamweight","U-DEC","3","5:00"
"0","LAUREN MURPHY","38","1","0","0","Women's Bantamweight","U-DEC","3","5:00"
"1","SAM ALVEY","8","0","1","0","Middleweight","SUB","1","2:43"
"0","ERIC SPICELY","7","0","0","0","Middleweight","SUB","1","2:43"
"1","CORTNEY CASEY","19","2","0","3","Women's Strawweight","KO/TKO","1","2:36"
"0","CRISTINA STANCIU","5","0","0","0","Women's Strawweight","KO/TKO","1","2:36"
"1","SCOTT HOLTZMAN","53","3","1","5","Lightweight","U-DEC","3","5:00"
"0","CODY PFISTER","28","1","0","1","Lightweight","U-DEC","3","5:00"
"1","RANI YAHYA","40","3","1","5","Bantamweight","SUB","3","4:19"
"0","MATTHEW LOPEZ","14","1","2","0","Bantamweight","SUB","3","4:19"
"1","ALEX NICHOLSON","18","0","0","0","Middleweight","KO/TKO","1","4:57"
"0","DEVIN CLARK","14","1","1","2","Middleweight","KO/TKO","1","4:57"
"1","AMANDA NUNES","40","0","1","1","Women's Bantamweight","SUB","1","3:16"
"0","MIESHA TATE","3","0","0","0","Women's Bantamweight","SUB","1","3:16"
"1","BROCK LESNAR","51","4","0","4","Heavyweight","U-DEC","3","5:00"
"0","MARK HUNT","13","0","0","0","Heavyweight","U-DEC","3","5:00"
"1","DANIEL CORMIER","33","3","0","3","Light Heavyweight","U-DEC","3","5:00"
"0","ANDERSON SILVA","17","0","0","0","Light Heavyweight","U-DEC","3","5:00"
"1","JOSE ALDO","80","0","0","0","Featherweight","U-DEC","5","5:00"
"0","FRANKIE EDGAR","79","0","0","0","Featherweight","U-DEC","5","5:00"
"1","CAIN VELASQUEZ","50","1","0","1","Heavyweight","KO/TKO","1","4:57"
"0","TRAVIS BROWNE","6","0","0","0","Heavyweight","KO/TKO","1","4:57"
"1","JULIANNA PENA","12","2","1","6","Women's Bantamweight","U-DEC","3","5:00"
"0","CAT ZINGANO","11","3","0","2","Women's Bantamweight","U-DEC","3","5:00"
"1","KELVIN GASTELUM","124","0","0","0","Welterweight","U-DEC","3","5:00"
"0","JOHNY HENDRICKS","70","1","0","0","Welterweight","U-DEC","3","5:00"
"1","TJ DILLASHAW","64","1","0","1","Bantamweight","U-DEC","3","5:00"
"0","RAPHAEL ASSUNCAO","49","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","SAGE NORTHCUTT","41","0","1","2","Lightweight","U-DEC","3","5:00"
"0","ENRIQUE MARIN","16","4","2","4","Lightweight","U-DEC","3","5:00"
"1","JOE LAUZON","22","0","0","0","Lightweight","KO/TKO","1","1:26"
"0","DIEGO SANCHEZ","6","0","0","0","Lightweight","KO/TKO","1","1:26"
"1","GEGARD MOUSASI","21","2","0","2","Middleweight","KO/TKO","1","4:32"
"0","THIAGO SANTOS","5","0","0","0","Middleweight","KO/TKO","1","4:32"
"1","JIM MILLER","8","1","0","1","Lightweight","KO/TKO","1","2:18"
"0","TAKANORI GOMI","1","0","0","0","Lightweight","KO/TKO","1","2:18"
"1","JOANNA JEDRZEJCZYK","176","1","0","0","Women's Strawweight","U-DEC","5","5:00"
"0","CLAUDIA GADELHA","63","4","0","5","Women's Strawweight","U-DEC","5","5:00"
"1","ANDREW SANCHEZ","31","6","0","5","Light Heavyweight","U-DEC","3","5:00"
"0","KHALIL ROUNTREE","14","0","0","0","Light Heavyweight","U-DEC","3","5:00"
"1","TATIANA SUAREZ","16","3","1","0","Women's Strawweight","SUB","1","3:43"
"0","AMANDA COOPER","1","0","2","0","Women's Strawweight","SUB","1","3:43"
"1","WILL BROOKS","80","1","0","1","Lightweight","U-DEC","3","5:00"
"0","ROSS PEARSON","54","0","0","0","Lightweight","U-DEC","3","5:00"
"1","DOOHO CHOI","4","0","0","0","Featherweight","KO/TKO","1","2:42"
"0","THIAGO TAVARES","2","2","0","0","Featherweight","KO/TKO","1","2:42"
"1","JOAQUIM SILVA","6","0","0","0","Lightweight","KO/TKO","1","0:34"
"0","ANDREW HOLBROOK","2","0","0","0","Lightweight","KO/TKO","1","0:34"
"1","GRAY MAYNARD","30","3","1","3","Featherweight","U-DEC","3","5:00"
"0","FERNANDO BRUNO","32","2","1","0","Featherweight","U-DEC","3","5:00"
"1","MATHEUS NICOLAU","41","0","0","1","Flyweight","S-DEC","3","5:00"
"0","JOHN MORAGA","31","0","0","0","Flyweight","S-DEC","3","5:00"
"1","JOSH STANSBURY","61","0","0","5","Light Heavyweight","M-DEC","3","5:00"
"0","CORY HENDRICKS","47","0","0","0","Light Heavyweight","M-DEC","3","5:00"
"1","CEZAR FERREIRA","30","6","0","3","Middleweight","U-DEC","3","5:00"
"0","ANTHONY SMITH","33","0","1","0","Middleweight","U-DEC","3","5:00"
"1","KEVIN LEE","24","1","0","2","Lightweight","KO/TKO","1","4:06"
"0","JAKE MATTHEWS","5","0","0","0","Lightweight","KO/TKO","1","4:06"
"1","LI JINGLIANG","6","1","0","1","Welterweight","KO/TKO","1","2:46"
"0","ANTON ZAFIR","5","2","0","1","Welterweight","KO/TKO","1","2:46"
"1","EDDIE ALVAREZ","45","1","0","0","Lightweight","KO/TKO","1","3:49"
"0","RAFAEL DOS ANJOS","12","0","0","0","Lightweight","KO/TKO","1","3:49"
"1","DERRICK LEWIS","37","0","0","0","Heavyweight","S-DEC","3","5:00"
"0","ROY NELSON","4","7","0","5","Heavyweight","S-DEC","3","5:00"
"1","ALAN JOUBAN","86","0","0","2","Welterweight","U-DEC","3","5:00"
"0","BELAL MUHAMMAD","77","2","0","0","Welterweight","U-DEC","3","5:00"
"1","JOE DUFFY","3","0","1","2","Lightweight","SUB","1","0:25"
"0","MITCH CLARKE","1","0","0","0","Lightweight","SUB","1","0:25"
"1","ALBERTO MINA","16","2","0","0","Welterweight","KO/TKO","2","1:17"
"0","MIKE PYLE","2","0","1","0","Welterweight","KO/TKO","2","1:17"
"1","JOHN MAKDESSI","84","0","0","0","Lightweight","S-DEC","3","5:00"
"0","MEHDI BAGHDAD","60","0","0","0","Lightweight","S-DEC","3","5:00"
"1","ANTHONY BIRCHAK","41","0","0","0","Bantamweight","S-DEC","3","5:00"
"0","DILENO LOPES","25","2","0","2","Bantamweight","S-DEC","3","5:00"
"1","PEDRO MUNHOZ","14","1","1","0","Bantamweight","SUB","1","2:08"
"0","RUSSELL DOANE","18","0","0","0","Bantamweight","SUB","1","2:08"
"1","FELIPE ARANTES","3","0","1","0","Bantamweight","SUB","2","1:39"
"0","JERROD SANDERS","6","1","0","1","Bantamweight","SUB","2","1:39"
"1","GILBERT BURNS","13","1","1","1","Lightweight","SUB","1","4:57"
"0","LUKASZ SAJEWSKI","14","0","0","0","Lightweight","SUB","1","4:57"
"1","MARCO BELTRAN","20","0","1","1","Bantamweight","SUB","2","3:04"
"0","REGINALDO VIEIRA","20","3","0","0","Bantamweight","SUB","2","3:04"
"1","VICENTE LUQUE","25","4","1","4","Welterweight","SUB","2","3:52"
"0","ALVARO HERRERA","12","0","0","0","Welterweight","SUB","2","3:52"
"1","STEPHEN THOMPSON","110","0","0","0","Welterweight","U-DEC","5","5:00"
"0","RORY MACDONALD","61","0","0","0","Welterweight","U-DEC","5","5:00"
"1","DONALD CERRONE","73","2","1","2","Welterweight","KO/TKO","3","2:35"
"0","PATRICK COTE","46","0","0","0","Welterweight","KO/TKO","3","2:35"
"1","STEVE BOSSE","93","1","0","3","Light Heavyweight","U-DEC","3","5:00"
"0","SEAN O'CONNELL","84","0","0","1","Light Heavyweight","U-DEC","3","5:00"
"1","OLIVIER AUBIN-MERCIER","44","3","1","5","Lightweight","SUB","3","2:28"
"0","THIBAULT GOUTI","29","0","0","1","Lightweight","SUB","3","2:28"
"1","JOANNE CALDERWOOD","115","3","0","1","Women's Flyweight","KO/TKO","3","2:44"
"0","VALERIE LETOURNEAU","80","0","0","0","Women's Flyweight","KO/TKO","3","2:44"
"1","JASON SAGGO","48","1","0","2","Lightweight","S-DEC","3","5:00"
"0","LEANDRO SILVA","47","2","0","0","Lightweight","S-DEC","3","5:00"
"1","MISHA CIRKUNOV","44","1","1","1","Light Heavyweight","SUB","3","1:22"
"0","ION CUTELABA","24","0","0","1","Light Heavyweight","SUB","3","1:22"
"1","KRZYSZTOF JOTKO","4","0","0","0","Middleweight","KO/TKO","1","0:59"
"0","TAMDAN MCCRORY","2","0","0","0","Middleweight","KO/TKO","1","0:59"
"1","JOE SOTO","47","1","2","2","Bantamweight","SUB","3","3:39"
"0","CHRIS BEAL","76","0","0","0","Bantamweight","SUB","3","3:39"
"1","ELIAS THEODOROU","37","0","0","0","Middleweight","U-DEC","3","5:00"
"0","SAM ALVEY","24","0","0","0","Middleweight","U-DEC","3","5:00"
"1","RANDA MARKOS","86","1","1","0","Women's Strawweight","U-DEC","3","5:00"
"0","JOCELYN JONES-LYBARGER","79","1","0","0","Women's Strawweight","U-DEC","3","5:00"
"1","COLBY COVINGTON","19","5","1","6","Welterweight","SUB","3","0:54"
"0","JONATHAN MEUNIER","16","0","0","0","Welterweight","SUB","3","0:54"
"1","ALI BAGAUTINOV","90","5","0","6","Flyweight","U-DEC","3","5:00"
"0","GEANE HERRERA","13","1","2","2","Flyweight","U-DEC","3","5:00"
"1","MICHAEL BISPING","21","0","0","0","Middleweight","KO/TKO","1","3:36"
"0","LUKE ROCKHOLD","17","0","0","0","Middleweight","KO/TKO","1","3:36"
"1","DOMINICK CRUZ","87","3","0","2","Bantamweight","U-DEC","5","5:00"
"0","URIJAH FABER","34","1","0","0","Bantamweight","U-DEC","5","5:00"
"1","MAX HOLLOWAY","103","0","2","2","Featherweight","U-DEC","3","5:00"
"0","RICARDO LAMAS","64","0","0","0","Featherweight","U-DEC","3","5:00"
"1","DAN HENDERSON","13","0","0","0","Middleweight","KO/TKO","2","1:27"
"0","HECTOR LOMBARD","23","2","2","2","Middleweight","KO/TKO","2","1:27"
"1","DUSTIN POIRIER","36","0","0","0","Lightweight","KO/TKO","1","2:53"
"0","BOBBY GREEN","16","0","0","0","Lightweight","KO/TKO","1","2:53"
"1","BRIAN ORTEGA","62","0","0","0","Featherweight","KO/TKO","3","4:40"
"0","CLAY GUIDA","62","0","0","0","Featherweight","KO/TKO","3","4:40"
