"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time","score"
0,"KELLY FASZHOLZ",76,0,0,0,"Women's Bantamweight","KO/TKO",3,"4:55",38
1,"LAUREN MURPHY",95,1,0,2,"Women's Bantamweight","KO/TKO",3,"4:55",99.5
