wincol,name,strikes,takedowns,subattempts,pospass,weightclass,result,round,time,score
1,ELIZEU ZALESKI DOS SANTOS,72,0,1,2,Welterweight,KO/TKO,3,3:03,86
0,OMARI AKHMEDOV,36,3,1,1,Welterweight,KO/TKO,3,3:03,24
